Commonly Deleterious Genes,# strains where deleterious
YAL003W,15
YAL005C,15
YBR078W,15
YBR179C,15
YBR189W,15
YDL014W,15
YDL084W,15
YDL133W,15
YDL137W,15
YDL192W,15
YDL195W,15
YDL229W,15
YDR002W,15
YDR060W,15
YDR418W,15
YDR432W,15
YEL034W,15
YER008C,15
YER095W,15
YER110C,15
YER120W,15
YER126C,15
YER133W,15
YER167W,15
YFL037W,15
YFR028C,15
YFR032C-A,15
YGL030W,15
YGL147C,15
YGL198W,15
YGR221C,15
YHR023W,15
YHR141C,15
YIL095W,15
YJL092W,15
YJR123W,15
YJR127C,15
YKL042W,15
YKL164C,15
YLL045C,15
YLR075W,15
YLR110C,15
YLR150W,15
YLR167W,15
YLR175W,15
YLR185W,15
YLR197W,15
YLR249W,15
YLR293C,15
YML063W,15
YML124C,15
YMR145C,15
YMR199W,15
YNL031C,15
YNL162W,15
YNL287W,15
YOR063W,15
YOR361C,15
YOR369C,15
YPL032C,15
YPL075W,15
YPL106C,15
YPL145C,15
YPL203W,15
YPR104C,15
YBL023C,14
YBL063W,14
YBR010W,14
YDL019C,14
YDL133C-A,14
YDR025W,14
YDR033W,14
YDR096W,14
YDR166C,14
YEL035C,14
YEL061C,14
YER074W,14
YER164W,14
YGL008C,14
YGL071W,14
YGL123W,14
YGL137W,14
YGL173C,14
YGR090W,14
YGR270W,14
YHL034C,14
YHR010W,14
YHR203C,14
YIL036W,14
YIL126W,14
YIL148W,14
YIL149C,14
YJL005W,14
YJL148W,14
YJR045C,14
YJR093C,14
YKR059W,14
YKR094C,14
YLR030W,14
YLR223C,14
YLR347C,14
YML016C,14
YML061C,14
YMR001C,14
YMR013C,14
YMR242C,14
YNL055C,14
YNL064C,14
YNL076W,14
YNL224C,14
YOL001W,14
YOL034W,14
YOL040C,14
YOR058C,14
YOR096W,14
YOR098C,14
YOR140W,14
YOR204W,14
YOR360C,14
YPL143W,14
YPR010C,14
YPR043W,14
YPR103W,14
YAL038W,13
YBL051C,13
YBL092W,13
YBR127C,13
YCL029C,13
YCR030C,13
YCR088W,13
YDL117W,13
YDL130W,13
YDR028C,13
YDR233C,13
YDR524C,13
YEL015W,13
YER125W,13
YFL004W,13
YFL008W,13
YFR031C-A,13
YGL104C,13
YGL115W,13
YGR192C,13
YGR222W,13
YJL026W,13
YJR007W,13
YJR076C,13
YJR092W,13
YKL068W,13
YKL081W,13
YKR090W,13
YKR099W,13
YLL024C,13
YLL026W,13
YLR002C,13
YLR074C,13
YLR166C,13
YLR312W-A,13
YLR340W,13
YLR378C,13
YLR403W,13
YLR448W,13
YML026C,13
YML052W,13
YML073C,13
YMR081C,13
YMR143W,13
YMR179W,13
YMR307W,13
YMR309C,13
YNL088W,13
YNL233W,13
YOL086C,13
YOR071C,13
YOR217W,13
YOR247W,13
YPL012W,13
YPL037C,13
YPL043W,13
YPL115C,13
YPL128C,13
YPR049C,13
YAL029C,12
YBR048W,12
YBR172C,12
YBR196C,12
YBR230C,12
YCR031C,12
YDL082W,12
YDL134C,12
YDL188C,12
YDR176W,12
YDR382W,12
YER025W,12
YER068W,12
YER114C,12
YER132C,12
YER136W,12
YER165W,12
YGL014W,12
YGL073W,12
YGL076C,12
YGL094C,12
YGL110C,12
YGL130W,12
YGL178W,12
YGR052W,12
YGR070W,12
YHL007C,12
YHR007C,12
YHR038W,12
YHR073W,12
YHR082C,12
YHR084W,12
YHR115C,12
YHR170W,12
YHR172W,12
YJL039C,12
YJL124C,12
YJL138C,12
YJL190C,12
YJL192C,12
YKL060C,12
YKL082C,12
YKL180W,12
YKL182W,12
YKR100C,12
YKR103W,12
YLL002W,12
YLR027C,12
YLR259C,12
YLR310C,12
YLR357W,12
YLR422W,12
YMR116C,12
YMR225C,12
YMR287C,12
YNL025C,12
YNL098C,12
YOL039W,12
YOR233W,12
YOR329C,12
YOR337W,12
YPL141C,12
YPL242C,12
YPR016C,12
YPR055W,12
YBL005W,11
YBL032W,11
YBL072C,11
YBL079W,11
YBR080C,11
YBR143C,11
YDR074W,11
YDR104C,11
YDR146C,11
YDR194C,11
YDR195W,11
YDR325W,11
YDR356W,11
YDR495C,11
YER007C-A,11
YER088C,11
YER093C,11
YER117W,11
YER123W,11
YER131W,11
YER176W,11
YGL120C,11
YGL122C,11
YGL141W,11
YGL163C,11
YGR118W,11
YGR121C,11
YIL026C,11
YIL073C,11
YIL135C,11
YJL084C,11
YKL006W,11
YKL135C,11
YKL157W,11
YKL209C,11
YKR021W,11
YLR071C,11
YLR095C,11
YLR125W,11
YLR187W,11
YLR229C,11
YLR248W,11
YLR277C,11
YLR305C,11
YLR410W,11
YLR425W,11
YML081W,11
YML123C,11
YMR019W,11
YMR054W,11
YMR124W,11
YMR128W,11
YMR229C,11
YNL067W,11
YNL099C,11
YNL132W,11
YNL255C,11
YNR067C,11
YOL019W,11
YOL124C,11
YOR042W,11
YOR113W,11
YOR144C,11
YOR183W,11
YOR198C,11
YOR208W,11
YOR230W,11
YOR341W,11
YOR359W,11
YPL070W,11
YPL127C,11
YPL160W,11
YPL249C-A,11
YPR052C,11
YPR149W,11
YPR165W,11
YAL051W,10
YAR042W,10
YBR025C,10
YBR069C,10
YBR118W,10
YBR283C,10
YCL047C,10
YCR012W,10
YDL031W,10
YDL051W,10
YDL057W,10
YDL060W,10
YDL185W,10
YDL220C,10
YDL240W,10
YDR018C,10
YDR027C,10
YDR050C,10
YDR099W,10
YDR141C,10
YDR159W,10
YDR186C,10
YDR283C,10
YDR299W,10
YDR306C,10
YDR309C,10
YDR520C,10
YER024W,10
YER026C,10
YER172C,10
YFL021W,10
YFR052W,10
YGL031C,10
YGL084C,10
YGL140C,10
YGR060W,10
YGR086C,10
YGR097W,10
YGR103W,10
YGR116W,10
YGR125W,10
YGR170W,10
YGR178C,10
YGR229C,10
YGR256W,10
YGR260W,10
YGR271W,10
YHL033C,10
YHR006W,10
YHR015W,10
YHR117W,10
YHR137W,10
YIL031W,10
YJL042W,10
YJL051W,10
YJL080C,10
YJL081C,10
YJL109C,10
YJL128C,10
YJL201W,10
YJR053W,10
YJR094W-A,10
YKL056C,10
YKL119C,10
YKL211C,10
YKR086W,10
YKR092C,10
YKR096W,10
YLR029C,10
YLR086W,10
YLR220W,10
YLR336C,10
YLR451W,10
YML024W,10
YML053C,10
YML056C,10
YMR086W,10
YMR129W,10
YMR196W,10
YMR203W,10
YMR235C,10
YMR247C,10
YMR290C,10
YNL037C,10
YNL154C,10
YNL160W,10
YNL175C,10
YNL183C,10
YNL192W,10
YNL216W,10
YNL229C,10
YNR053C,10
YOL006C,10
YOL047C,10
YOL087C,10
YOL120C,10
YOL127W,10
YOR118W,10
YOR275C,10
YOR293W,10
YPL016W,10
YPL020C,10
YPL078C,10
YPL116W,10
YPL231W,10
YPL249C,10
YPR019W,10
YPR132W,10
