UID	BC187_Avg_log2_Fitness_Score	BC187_FDR	BY4743_Avg_log2_Fitness_Score	BY4743_FDR	DBVPG1373_Avg_log2_Fitness_Score	DBVPG1373_FDR	NCYC3290_Avg_log2_Fitness_Score	NCYC3290_FDR	Y12_Avg_log2_Fitness_Score	Y12_FDR	Y2209_Avg_log2_Fitness_Score	Y2209_FDR	Y389_Avg_log2_Fitness_Score	Y389_FDR	Y7568_Avg_log2_Fitness_Score	Y7568_FDR	YJM1273_Avg_log2_Fitness_Score	YJM1273_FDR	YJM1389_Avg_log2_Fitness_Score	YJM1389_FDR	YJM1592_Avg_log2_Fitness_Score	YJM1592_FDR	YJM978_Avg_log2_Fitness_Score	YJM978_FDR	YPS128_Avg_log2_Fitness_Score	YPS128_FDR	YPS163_Avg_log2_Fitness_Score	YPS163_FDR	YPS606_Avg_log2_Fitness_Score	YPS606_FDR
YAL001C	-1.32458224	0.00000000337	-0.545534835	0.0000217	-5.929844548	0	5.388506745	0	5.385123984	0	-0.233917749	0.559724851	-0.607307738	0.006899225	-0.294389635	0.021875839	1.390790313	0	3.011953453	0	2.01939791	0	-1.829196704	0.00000192	2.144255933	0	1.932040679	0	3.590098383	0.000000000275
YAL002W	-1.320336769	0	-0.002843854	0.985379356	-0.702973587	0.00000891	-2.110135623	0.000000386	-1.843498681	0.000000296	-0.086097791	0.857668781	-0.793056983	0.000229415	-0.787262781	0.00000728	0.092020155	0.668243703	-0.661079372	0.001023989	-0.361334027	0.337024333	-0.193929101	0.346057686	-0.394872472	0.44940618	0.113110673	0.462453987	-1.609998962	0.129083698
YAL003W	-1.310958653	0	-0.92580953	0	-1.983880034	0	-4.106090028	0	-6.980951863	0	-1.349388407	0.00000102	-2.534351141	0	-1.325120298	0	-2.405570546	0	-3.130650909	0	-2.524121059	0	-1.013205072	0.000481599	-2.9087098	0	-1.64294159	0	-2.463284875	0.00446726
YAL005C	-3.437650564	0	-2.518794695	0	-4.361792537	0	-2.911942889	0.000000061	-7.068858539	0	-2.922418695	0	-4.299339381	0	-2.629770255	0	-6.60644519	0	-4.088525688	0	-5.29421435	0	-1.785529321	0.000000000715	-4.545910255	0.00000000747	-3.172214181	0	-6.494763306	0.0000000261
YAL007C	0.281468222	0.016766872	0.134593252	0.163984956	-0.613514301	0.0000000306	-1.123945961	0.00000196	-0.554791993	0.015780544	0.053703115	0.863460441	-0.109783511	0.60695269	0.080666041	0.49692644	-0.054115124	0.795885481	0.234397341	0.160204713	0.164258131	0.506155045	-0.298439153	0.336782956	0.217066015	0.509293165	-0.382859791	0.007890481	-0.600393126	0.593210708
YAL009W	0.483773071	0.000000224	0.106101465	0.273866757	0.039994849	0.753153881	0.009876169	0.980088736	-0.210046955	0.415491203	0.169143527	0.450012819	-0.083350889	0.580678739	0.375447559	0.0000022	0.494781575	0.000256056	0.122044701	0.473780049	0.276144276	0.109469607	0.378686542	0.009627908	0.278391705	0.220509974	0.228452414	0.05130641	0.076309872	0.938353545
YAL010C	-0.314925837	0.009011811	0.240882307	0.004885513	0.105396025	0.373955154	-0.8194362	0.000394712	-0.994447094	0.00000753	-0.114667831	0.701769442	-0.150957635	0.351487097	0.321677546	0.000511691	0.424587906	0.001124063	-0.23708871	0.158850938	0.070911598	0.795209693	0.1092203	0.641511924	-0.369962698	0.218117358	0.179980959	0.225626986	0.395667594	0.666241999
YAL011W	-0.03755271	0.853259319	0.177550918	0.280900754	-2.908171284	0	-1.693526207	0.0000331	-0.16031651	0.646092325	-0.587520213	0.058294838	0.334614279	0.12867444	-0.692354715	0.0000713	-0.971902615	0.156226536	-0.615396934	0.002239206	-0.250670797	0.590467063	-1.159581698	0.017685493	-0.534381068	0.305701926	-5.723777732	0	-0.315464322	0.827821501
YAL012W	0.055395478	0.75074778	0.083416479	0.795270539	-0.965678465	0	-2.257266557	0.000000171	-1.448761639	0.000262813	-0.263346186	0.415443928	-0.265203501	0.218669355	-0.079740841	0.569975102	-0.13370641	0.591418054	0.002620067	0.990884545	-0.120603882	0.656602198	-0.061356757	0.864856771	-0.071086719	0.875428335	-5.881050526	0	-0.587408326	0.494716207
YAL013W	0.122038399	0.304467859	-0.036602596	0.748055988	-0.598567651	0.00000608	-0.351378908	0.156271496	-0.671440498	0.00149952	-0.043024615	0.878591311	0.439250845	0.000499904	0.212292775	0.016389769	-0.665190159	0.005527056	-0.39283186	0.015379949	0.045821548	0.884676544	-0.089239745	0.745302257	-0.210258264	0.394474698	-0.049466984	0.7245107	-0.989300447	0.181727555
