BC187_Beneficial_Genes,BY4743_Beneficial_Genes,DBVPG1373_Beneficial_Genes,NCYC3290_Beneficial_Genes,Y12_Beneficial_Genes,Y2209_Beneficial_Genes,Y389_Beneficial_Genes,Y7568_Beneficial_Genes,YJM1273_Beneficial_Genes,YJM1389_Beneficial_Genes,YJM1592_Beneficial_Genes,YJM978_Beneficial_Genes,YPS128_Beneficial_Genes,YPS163_Beneficial_Genes
YER026C,YLR403W,YOR233W,YOR233W,YML034W,YGR052W,YMR081C,YKL119C,YIL073C,YOR359W,YGR052W,YDL051W,YEL023C,YFL008W
YDR503C,YMR081C,YDR077W,YBL009W,YGR108W,YJL128C,YMR225C,YBL071W-A,YNL167C,YGR108W,YNL160W,YGL234W,YDR528W,YBR245C
YER158C,YER165W,YPL057C,YDR014W,YLR189C,YDR077W,YML123C,YOL123W,YJR109C,YLR189C,YMR195W,YOR108W,YLL018C,YDL194W
YOR108W,YNL098C,YPR119W,YCR053W,YKR101W,YDR098C,YOR198C,YPR028W,YPL264C,YCR095C,YIL140W,YDR054C,YLR017W,YLR067C
YDR054C,YIL135C,YFL038C,YDL237W,YJR042W,YHR021W-A,YDR099W,YDR054C,YDR013W,YDL091C,YJL087C,YLR133W,YLR189C,YFR016C
YDR308C,YJL201W,YIL140W,YGR138C,YKL059C,YDR463W,YML024W,YDR530C,YDR026C,YGL015C,YJR061W,YMR195W,YOL117W,YGL006W
YGR079W,YML053C,YIL147C,YLL032C,YOR195W,YEL040W,YNL037C,YOR319W,YDR511W,YGL032C,YMR251W-A,YDR063W,YOR243C,YBL103C
YHR042W,YBL027W,YNL126W,YNL006W,YPL174C,YJL085W,YGL103W,YBL028C,YGL060W,YGR140W,YOL105C,YDR064W,YBL075C,YBR259W
YIL094C,YBL093C,YDR014W,YBR087W,YHR097C,YGR046W,YHR021W-A,YFR004W,YGR216C,YJR125C,YAL046C,YFR033C,YDL074C,YBR295W
YLR060W,YDR022C,YER032W,YDR263C,YJR063W,YKR052C,YMR039C,YFR033C,YKL208W,YLR014C,YBR034C,YGR031W,YDL091C,YDL190C
YMR014W,YEL023C,YGR140W,YDR348C,YOR005C,YNL295W,YPR028W,YGL222C,YML046W,YBR139W,YGR062C,YLR355C,YDR020C,YFR031C
YMR195W,YGL103W,YMR037C,YGL249W,YBL036C,YOR348C,YBR129C,YGR031W,YNR041C,YDL109C,YHR150W,YOR348C,YGL210W,YGL062W
YNL134C,YHR021W-A,YMR273C,YLR225C,YHR107C,YBR175W,YBR233W,YLR350W,YBL085W,YDR057W,YKL039W,YPL050C,YJR117W,YGR046W
