BC187_Deleterious_Genes,BY4743_Deleterious_Genes,DBVPG1373_Deleterious_Genes,NCYC3290_Deleterious_Genes,Y12_Deleterious_Genes,Y2209_Deleterious_Genes,Y389_Deleterious_Genes,Y7568_Deleterious_Genes,YJM1273_Deleterious_Genes,YJM1389_Deleterious_Genes,YJM1592_Deleterious_Genes,YJM978_Deleterious_Genes,YPS128_Deleterious_Genes,YPS163_Deleterious_Genes
YAL010C,YBR160W,YAL016W,YAL010C,YAL010C,YER037W,YAL039C,YBR045C,YBL019W,YAL020C,YDL007W,YBR083W,YAL016W,YBL006C
YAL039C,YCR008W,YAL027W,YAL016W,YAL020C,YJL156C,YBR003W,YBR261C,YBL021C,YAL030W,YDL089W,YCL031C,YAR035W,YBL008W-A
YBR005W,YDL007W,YAL039C,YAL020C,YAL027W,YJL186W,YBR030W,YCL031C,YBL036C,YAL059W,YGL258W,YDL155W,YBR022W,YBL016W
YBR074W,YDL106C,YAL059W,YAL027W,YAL030W,YML105C,YBR074W,YCR010C,YBR029C,YAR035W,YGR185C,YDL199C,YBR029C,YBL069W
YBR132C,YDL129W,YBL021C,YAL030W,YAL059W,YNL249C,YBR148W,YDL102W,YBR061C,YBL006C,YHL001W,YDR317W,YBR037C,YBR005W
YCL031C,YDR109C,YBL036C,YBL016W,YAR035W,YOR211C,YBR160W,YDL106C,YBR067C,YBL008W-A,YLR408C,YEL050C,YBR061C,YBR013C
YDL149W,YDR143C,YBL069W,YBL019W,YBL006C,YOR365C,YBR257W,YDL149W,YBR177C,YBL019W,YBL002W,YER054C,YBR230W-A,YBR030W
YDL243C,YDR175C,YBL107C,YBL064C,YBL008W-A,YBR066C,YCR094W,YDR122W,YCR010C,YBL064C,YBL010C,YER062C,YCL052C,YBR037C
YDR079W,YDR249C,YBR011C,YBL107C,YBL016W,YFR023W,YDL106C,YDR175C,YCR069W,YBL069W,YCR068W,YER109C,YCR020C-A,YBR056W-A
YDR122W,YDR297W,YBR013C,YBR003W,YBL021C,YLR098C,YDL120W,YDR315C,YCR083W,YBR011C,YDL083C,YFL001W,YDL012C,YBR065C
YDR317W,YEL063C,YBR045C,YBR037C,YBL064C,YLR300W,YDL203C,YDR332W,YDL085W,YBR022W,YDR425W,YGR237C,YDL121C,YBR205W
YDR332W,YER023W,YBR056W-A,YBR050C,YBL107C,YMR171C,YDR122W,YDR362C,YDL155W,YBR050C,YGR204W,YIL099W,YDL179W,YCR010C
YDR454C,YER039C-A,YBR060C,YBR056W-A,YBR003W,YOR382W,YDR536W,YDR534C,YDL175C,YBR060C,YLL009C,YIL106W,YDL181W,YCR020C-A
YEL002C,YER054C,YBR065C,YBR061C,YBR005W,YBR093C,YEL051W,YEL032W,YDR065W,YBR067C,YLR064W,YJR104C,YDR156W,YDL085C-A
YER034W,YER080W,YBR088C,YBR065C,YBR011C,YCR090C,YER058W,YER049W,YDR079C-A,YBR074W,YLR093C,YKL087C,YEL006W,YDL199C
YER037W,YER137C,YBR132C,YBR137W,YBR013C,YLL023C,YER062C,YER054C,YDR116C,YBR083W,YLR204W,YKR035W-A,YEL063C,YDL203C
YER062C,YFL001W,YBR141C,YBR147W,YBR022W,,YER094C,YER109C,YDR121W,YBR088C,YLR226W,YLR306W,YER012W,YDR079W
YER180C-A,YFL027C,YBR147W,YBR193C,YBR029C,,YFR003C,YGL145W-1,YDR148C,YBR137W,YMR144W,YML050W,YER071C,YDR145W
YFL001W,YFR037C,YBR199W,YBR199W,YBR030W,,YFR026C,YGR071C,YDR363W-A,YBR141C,YMR198W,YMR187C,YER175W-A,YDR156W
YFR006W,YGL142C,YBR253W,YBR253W,YBR045C,,YFR027W,YGR101W,YDR437W,YBR148W,YNR026C,YNL260C,YGR004W,YDR321W
YFR037C,YGL168W,YBR299W,YBR261C,YBR050C,,YFR055W,YGR165W,YDR454C,YBR177C,YOR215C,YOL014W,YGR088W,YDR330W
YGL205W,YGR174C,YCR005C,YBR299W,YBR060C,,YGL037C,YGR197C,YEL026W,YBR193C,YBR182C-A,YPL121C,YGR158C,YDR346C
YGL258W,YGR211W,YCR015C,YCL042W,YBR067C,,YGL127C,YJL019W,YER012W,YBR205W,YOR145C,YDR490C,YGR206W,YDR437W
YGR027C,YGR254W,YCR020C-A,YCR008W,YBR083W,,YGL205W,YJL033W,YER023W,YBR230W-A,,YEL017C-A,YHR017W,YDR468C
YGR043C,YIL051C,YCR069W,YCR015C,YBR088C,,YGR016W,YJL186W,YER039C-A,YBR257W,,YFL042C,YHR032W,YDR478W
YGR165W,YJL091C,YDL017W,YCR027C,YBR132C,,YGR158C,YJR153W,YER175W-A,YBR299W,,YGL028C,YHR171W,YDR514C
YHR071W,YKL100C,YDL089W,YCR046C,YBR137W,,YGR172C,YKR018C,YFL017C,YCL052C,,YHR179W,YIL067C,YDR515W
YHR092C,YKL204W,YDL129W,YCR079W,YBR141C,,YGR267C,YLL028W,YFL027C,YCR005C,,YIR015W,YJL023C,YDR532C
