UNIQID	BY4743_log2_Fitness_Score_Rep1	BY4743_log2_Fitness_Score_Rep2	BY4743_log2_Fitness_Score_Rep3	BC187_log2_Fitness_Score_Rep1	BC187_log2_Fitness_Score_Rep2	BC187_log2_Fitness_Score_Rep3	DBVPG1373_log2_Fitness_Score_Rep1	DBVPG1373_log2_Fitness_Score_Rep2	DBVPG1373_log2_Fitness_Score_Rep3	YJM978_log2_Fitness_Score_Rep1	YJM978_log2_Fitness_Score_Rep2	YJM978_log2_Fitness_Score_Rep3	NCYC3290_log2_Fitness_Score_Rep1	NCYC3290_log2_Fitness_Score_Rep2	NCYC3290_log2_Fitness_Score_Rep3	Y12_log2_Fitness_Score_Rep1	Y12_log2_Fitness_Score_Rep2	Y12_log2_Fitness_Score_Rep3	YJM1389_log2_Fitness_Score_Rep1	YJM1389_log2_Fitness_Score_Rep2	YJM1389_log2_Fitness_Score_Rep3	YJM1592_log2_Fitness_Score_Rep1	YJM1592_log2_Fitness_Score_Rep2	YJM1592_log2_Fitness_Score_Rep3	YJM1273_log2_Fitness_Score_Rep1	YJM1273_log2_Fitness_Score_Rep2	YJM1273_log2_Fitness_Score_Rep3	YPS128_log2_Fitness_Score_Rep1	YPS128_log2_Fitness_Score_Rep2	YPS128_log2_Fitness_Score_Rep3	YPS163_log2_Fitness_Score_Rep1	YPS163_log2_Fitness_Score_Rep2	YPS163_log2_Fitness_Score_Rep3	YPS606_log2_Fitness_Score_Rep1	YPS606_log2_Fitness_Score_Rep2	Y2209_log2_Fitness_Score_Rep1	Y2209_log2_Fitness_Score_Rep2	Y2209_log2_Fitness_Score_Rep3	Y389_log2_Fitness_Score_Rep1	Y389_log2_Fitness_Score_Rep2	Y389_log2_Fitness_Score_Rep3	Y7568_log2_Fitness_Score_Rep1	Y7568_log2_Fitness_Score_Rep2	Y7568_log2_Fitness_Score_Rep3
YDL176W	-0.241706	-0.210133	-0.174498	0.012711	0.15839	-0.371969	-0.392317	0.270452	-0.590356	0.499571	-0.278102	0.328501	0.337772	-0.613694	-0.326064	-0.975955	-0.126912	-0.855052	0	0.339916	0.079853	0.66808	0.37752	-0.512706	-0.123575	0.126973	0.736966	0.292451	-0.29716	-0.788976	0.554056	-0.320432	0.085117	1.030768	-0.125656	-0.692427	0.212197	-0.485427	0.604459	0.221791	0.37889	0.16665	-0.178146	-0.2144
YGR187C	-0.068172	0.640458	-0.023587	0.37707	0.896907	0.479993	0.00E+00	0.00E+00	0.00E+00	-1.06413	-0.628031	1.750022	2.535423	0.706269	1.1361	-1.129283	-0.610053	1.054448	0.332196	1.160465	0.834576	0.297681	-0.21205	-0.0229	0.115477	-0.043069	-1.031027	-0.067114	0.868755	-1.044394	0.432111	0.066342	0.421827	0.48328	0.1843	-0.455679	1.788496	-1.181607	0.125531	-0.394279	-0.517848	0.314109	-0.415037	-0.045804
YKL172W	0.268196	-0.345996	-0.618129	-0.128156	0.29844	0.382944	-0.780219	0.268489	-1.050626	0.16378	0.114864	0.166249	2.519867	0.237039	0.050626	0	0.76626	-0.70543	-0.787455	-0.888969	0.014797	0.149747	0.106915	0.544321	-0.539366	-0.077168	-0.186878	-0.658719	-0.211269	0.600593	0.090603	0.044394	-0.340229	0.561282	-1.303801	0.946362	0.743819	0.111893	0.445626	0.066089	-0.602036	-0.321928	-0.152647	0.006024
YNL314W	0.312213	0.120294	-0.155871	0.57447	0.115477	0.013421	-0.37707	-0.265345	0.091922	0.948367	-0.392915	0.466466	2.311944	0.058103	0.34645	0.233199	-0.426009	0.206451	0.131245	0.207442	-0.167727	0.460361	1.325319	0.329921	0.679378	0.770866	-0.186151	0.491612	0.132755	1.223965	-0.594744	0.08017	-0.670692	0.668198	0.573342	0.212661	0.584963	-0.121306	0.409255	0.879706	0.38448	0.211504	0.718818	0.024453
YJL066C	0	0.19592	0.059706	-0.105933	-0.375821	-0.2862	-1.600904	-0.704544	-0.852443	0.484851	0.186608	0.458341	2.569856	-0.02272	0.411532	-0.091922	0.204014	-0.217392	-0.150825	-0.100111	-0.379589	0.245538	0.255501	0.514041	0.170596	0.171712	-0.31639	0.036119	0.110183	0.168337	0.217805	0.057572	0.145383	-0.094763	0.597189	0.150839	-0.352573	0.186285	0.130223	-0.180321	0.267162	-0.069003	-0.221821	0.344365
YNR032C-A	-0.242977	-0.381871	-0.417235	-0.022281	0.258636	-0.09281	-1.408085	0.09818	-1.199938	0.216575	0.103978	0.575685	1.296775	-0.14743	-1.592698	-0.393342	-0.425454	-0.148099	-0.588322	-0.429113	-1.43644	-0.241008	-0.308122	0.494765	0.5025	-0.718229	0	-0.528379	-0.735478	-0.320492	0.688913	0.553852	0.044531	0.61573	0.163106	-0.014167	0.380345	0.045804	0.458329	0.080618	0.428015	0.235771	0.370915	0.438624
YDR252W	-0.244338	0.17897	0.310701	-0.106309	-0.397964	-0.03199	0.118105	-0.302563	-0.111031	-0.79481	-0.3254	-0.081428	-0.522167	0.624663	0.996776	0.127235	1.158954	0.212629	-0.066427	-0.241008	0.747234	0.042644	0.121306	0.519867	0.932437	0.145851	-0.649943	-0.683265	-0.206451	-0.040264	-0.26559	-0.487049	-0.24972	0.182771	-1.526194	0.35925	0.620507	0.610588	0.124851	-0.044669	0.140321	0.401205	0.286051	-0.028197
YGR268C	-0.09818	-0.263034	-0.178706	-0.114171	-0.723482	-1.115477	-0.080989	0.035624	0.267622	-0.454313	0.244153	-0.274941	0.415037	0.129283	0.22556	-0.084392	-0.142444	-0.674014	-0.007305	0.631913	0.511113	0.317341	0.206451	0.956931	0.03279	0.179909	-0.925038	-0.976541	-1.272253	-0.965235	-0.115477	-0.096215	-0.947533	0.320274	-1.526194	0.589912	-0.392317	0.715631	0.190331	0.444975	0.468954	0.147845	-0.503433	0.081877
YCL016C	0.040264	0.172837	0.17148	0.611146	0.084889	0.31034	0.302563	0.323697	0.36257	0	-0.200299	-1.415037	-0.84483	-0.123575	0.974005	-0.372659	-0.084392	-0.678072	0.843094	0.938072	1.154975	0.265345	0.115477	-0.31034	0.133267	0.045088	-1.017487	0.038474	-0.60073	-0.161062	-0.017922	-0.047306	0.36995	0.00E+00	0.00E+00	-0.396517	-0.17148	1.089267	-0.380031	-0.102362	0.259387	0.579424	0.409391	0.331621
YPR046W	-0.005925	0.36257	0.147041	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.151722	0.531782	0.647023	0.00E+00	0.00E+00	0.00E+00	0.930737	2.064955	0.090198	-0.388271	-1.037475	0.082462	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-0.152674	0.09643	0.405992	0.00E+00	0.00E+00	-1.125531	1.584963	0.247928	-0.275634	1.847997	0.040642	0.192645	-0.765535	-0.523562
